seed,hearthline_seat,hearthline_bank,starter_bank,advantage,result,steps_processed,status,reward_matches_bank,exact_wall_seconds,agent_total_runtime_seconds,agent_max_turn_seconds,agent_exceptions,malformed_actions,action_trace_parity,post_step_state_parity,final_state_parity,crops_lost_unwatered,crops_lost_decay,animals_lost_unfed,overflow_discarded,suspected_unit_noops,remaining_sellable,final_state_sha256
101,0,34351.0,3427.0,30924.0,WIN,719,DONE,True,0.6398971659999688,0.1762640310006418,0.0048845610000398665,0,0,True,True,True,0,0,0,0,0,0,f156ba369228a5bb69ce7edce1fab43558eb3fb1d219140c87637425b6f89530
101,1,34351.0,3427.0,30924.0,WIN,719,DONE,True,0.5074805550000292,0.11734664699815767,0.0017669009999963237,0,0,True,True,True,0,0,0,0,0,0,29077e6fc9387bde623a59bb72c97ea34674b0859ae78d87cc27f8eff5e3f45a
202,0,35828.0,3619.0,32209.0,WIN,719,DONE,True,0.474100505000024,0.1272740720000911,0.0018914180000138003,0,0,True,True,True,0,0,0,0,0,0,528afe41c0e267a4664478ff033ee4cd8766f140f9b693e777632a91fa54a00f
202,1,35828.0,3619.0,32209.0,WIN,719,DONE,True,0.43102120300000024,0.12006784799928027,0.0022319070000094143,0,0,True,True,True,0,0,0,0,0,0,fd1f7f7595e5ab529d074dde7c50a63f536a9c03d7dc2d34867765c312896628
303,0,38984.0,3860.0,35124.0,WIN,719,DONE,True,0.44546608500002094,0.12006054099754238,0.0019589849999874787,0,0,True,True,True,0,0,0,0,0,0,3d5983cc6eba9087be791ad8d499f33a8b8f6ef4bb9eac2288d1ac257f5580a7
303,1,38984.0,3860.0,35124.0,WIN,719,DONE,True,0.5975621610000417,0.18236368100110667,0.004813927999975931,0,0,True,True,True,0,0,0,0,0,0,5d2b9e1997d4d5a3c1005931a167089402881b24c3c529570e90ddfbd896c65c
404,0,33562.0,3386.0,30176.0,WIN,719,DONE,True,0.45759515600002487,0.12405396799886148,0.002105137999933504,0,0,True,True,True,0,0,0,0,0,0,ce51d8832fda03c2dcf3da07ac4425e2fb1a162cd53fcb230659cbd6a6c5e0d7
404,1,33562.0,3386.0,30176.0,WIN,719,DONE,True,0.4321270589999813,0.12170267899864484,0.0021520170000712824,0,0,True,True,True,0,0,0,0,0,0,72b755608c5911ef6e76ddb25e537f5fd1f0f9a8ae9c9faf9e485abd48ba6452
